NAME=b0609+37; DEC=37.356 ; RA=6.203  ; PW50=0.005300 ; DM=27.15
NAME=j0612+3721; DEC=37.356 ; RA=6.203  ; PW50=0.005300 ; DM=27.15
NAME=b0820+02; DEC=2.000  ; RA=8.390  ; PW50=0.019500 ; DM=23.73
NAME=j0823+0159; DEC=2.000  ; RA=8.390  ; PW50=0.019500 ; DM=23.73
NAME=b0906-17; DEC=-17.661; RA=9.136  ; PW50=0.008600 ; DM=15.88
NAME=j0908-1739; DEC=-17.661; RA=9.136  ; PW50=0.008600 ; DM=15.88
NAME=b0957-47; DEC=-48.152; RA=10.000 ; PW50=0.094200 ; DM=92.70
NAME=j0959-4809; DEC=-48.152; RA=10.000 ; PW50=0.094200 ; DM=92.70
NAME=b1730-22; DEC=-22.474; RA=17.559 ; PW50=0.061300 ; DM=41.14
NAME=j1733-2228; DEC=-22.474; RA=17.559 ; PW50=0.061300 ; DM=41.14
NAME=b1839+56; DEC=56.678 ; RA=18.678 ; PW50=0.027100 ; DM=26.77
NAME=j1840+5640; DEC=56.678 ; RA=18.678 ; PW50=0.027100 ; DM=26.77
NAME=b1953+50; DEC=51.000 ; RA=19.932 ; PW50=0.006000 ; DM=31.98
NAME=j1955+5059; DEC=51.000 ; RA=19.932 ; PW50=0.006000 ; DM=31.98
NAME=j2317+1439; DEC=14.661 ; RA=23.288 ; PW50=0.000460 ; DM=21.88
NAME=b0403-76; DEC=-76.136; RA=4.017  ; PW50=0.020300 ; DM=21.70
NAME=j0401-7608; DEC=-76.136; RA=4.017  ; PW50=0.020300 ; DM=21.70
NAME=b1552-31; DEC=-31.576; RA=15.932 ; PW50=0.027300 ; DM=73.05
NAME=j1555-3134; DEC=-31.576; RA=15.932 ; PW50=0.027300 ; DM=73.05
NAME=b1719-37; DEC=-37.203; RA=17.373 ; PW50=0.003700 ; DM=99.49
NAME=j1722-3712; DEC=-37.203; RA=17.373 ; PW50=0.003700 ; DM=99.49
NAME=b1819-22; DEC=-22.949; RA=18.373 ; PW50=0.043700 ; DM=121.20
NAME=j1822-2256; DEC=-22.949; RA=18.373 ; PW50=0.043700 ; DM=121.20
NAME=j2124-3358; DEC=-33.983; RA=21.407 ; PW50=0.000524 ; DM=4.60
NAME=j1901-0906; DEC=-9.102 ; RA=19.017 ; PW50=0.041600 ; DM=72.68
NAME=b0611+22; DEC=22.508 ; RA=6.237  ; PW50=0.006200 ; DM=96.91
NAME=j0614+2229; DEC=22.508 ; RA=6.237  ; PW50=0.006200 ; DM=96.91
NAME=b0855-61; DEC=-61.627; RA=8.949  ; PW50=0.016800 ; DM=95.00
NAME=j0856-6137; DEC=-61.627; RA=8.949  ; PW50=0.016800 ; DM=95.00
NAME=b1647-528; DEC=-52.932; RA=16.864 ; PW50=0.020800 ; DM=164.00
NAME=j1651-5255; DEC=-52.932; RA=16.864 ; PW50=0.020800 ; DM=164.00
NAME=b0626+24; DEC=24.254 ; RA=6.491  ; PW50=0.008800 ; DM=84.18
NAME=j0629+2415; DEC=24.254 ; RA=6.491  ; PW50=0.008800 ; DM=84.18
NAME=j0751+1807; DEC=18.119 ; RA=7.864  ; PW50=0.000700 ; DM=30.25
NAME=b0932-52; DEC=-52.830; RA=9.576  ; PW50=0.022500 ; DM=100.00
NAME=j0934-5249; DEC=-52.830; RA=9.576  ; PW50=0.022500 ; DM=100.00
NAME=j1012+5307; DEC=53.119 ; RA=10.203 ; PW50=0.000690 ; DM=9.02
NAME=b1143-60; DEC=-60.508; RA=11.779 ; PW50=0.010400 ; DM=111.68
NAME=j1146-6030; DEC=-60.508; RA=11.779 ; PW50=0.010400 ; DM=111.68
NAME=b1813-36; DEC=-36.305; RA=18.288 ; PW50=0.009000 ; DM=94.30
NAME=j1817-3618; DEC=-36.305; RA=18.288 ; PW50=0.009000 ; DM=94.30
NAME=b1820-11; DEC=-11.254; RA=18.390 ; PW50=0.026000 ; DM=428.59
NAME=j1823-1115; DEC=-11.254; RA=18.390 ; PW50=0.026000 ; DM=428.59
NAME=b1907+10; DEC=11.034 ; RA=19.152 ; PW50=0.004200 ; DM=149.98
NAME=j1909+1102; DEC=11.034 ; RA=19.152 ; PW50=0.004200 ; DM=149.98
NAME=j1603-7202; DEC=-72.034; RA=16.051 ; PW50=0.001206 ; DM=38.05
NAME=j1817-3837; DEC=-38.627; RA=18.288 ; PW50=0.004500 ; DM=102.85
NAME=b0011+47; DEC=47.779 ; RA=0.237  ; PW50=0.088700 ; DM=30.41
NAME=j0014+4746; DEC=47.779 ; RA=0.237  ; PW50=0.088700 ; DM=30.41
NAME=b1112+50; DEC=50.508 ; RA=11.254 ; PW50=0.016600 ; DM=9.19
NAME=j1115+5030; DEC=50.508 ; RA=11.254 ; PW50=0.016600 ; DM=9.19
NAME=b1159-58; DEC=-58.339; RA=12.034 ; PW50=0.008800 ; DM=145.41
